count,season,year
40995,Summer,2016
14643,Winter,2014
38643,Summer,2012
13155,Winter,2010
40677,Summer,2008
13110,Winter,2006
40188,Summer,2004
12297,Winter,2002
41253,Summer,2000
10767,Winter,1998
41058,Summer,1996
9414,Winter,1994
10233,Winter,1992
38592,Summer,1992
7854,Winter,1988
35760,Summer,1988
6357,Winter,1984
28116,Summer,1984
5163,Winter,1980
21408,Summer,1980
5526,Winter,1976
25557,Summer,1976
4857,Winter,1972
30429,Summer,1972
5580,Winter,1968
25461,Summer,1968
5274,Winter,1964
22779,Summer,1964
3285,Winter,1960
24021,Summer,1960
3831,Winter,1956
15006,Summer,1956
3159,Winter,1952
24351,Summer,1952
3162,Winter,1948
18888,Summer,1948
2610,Winter,1936
19281,Summer,1936
1026,Winter,1932
8661,Summer,1932
1728,Winter,1928
14628,Summer,1928
1371,Winter,1924
15498,Summer,1924
12675,Summer,1920
11982,Summer,1912
9162,Summer,1908
5157,Summer,1906
3720,Summer,1904
5739,Summer,1900
1140,Summer,1896
3,Season,0
